mbid,tempo,danceability,key,key_scale,loudness,dynamic_complexity
f4d81e04-06a2-4008-8850-0bff3a2f5138,124.115432739,1.11735916138,G,major,0.911989331245,4.26834630966
dad31ed1-22b4-4812-a941-9dc100d86329,163.317077637,1.27001404762,A,major,0.707280039787,4.03287887573
6e2bd512-14d7-4a71-ad50-ddce754ef813,172.265411377,1.09204280376,D,minor,0.939936935902,4.31168603897
1ab12b1b-3f73-4f2a-acd2-5a6c4f2189e1,132.370697021,1.02019572258,D,minor,0.74829864502,3.642983675
b1e7bebd-0d36-4e4e-b419-e87bd5520933,102.858314514,1.1721521616,D,major,0.813503265381,3.76138973236
d22e799a-b835-4b0c-9f3b-4e75079b4e9f,154.519790649,1.15981578827,G#,major,0.930401146412,2.85313487053
4ccf5cb7-169b-496d-96c6-b4f214991b08,178.205368042,1.00298535824,E,major,0.211939007044,8.77741909027
3c7ef0a1-c01c-45c0-b613-e630e91faeb1,113.978111267,1.78471410275,B,minor,0.970268011093,2.87187814713
0ac62dae-8e71-4ba5-ac8b-80d758c50316,106.720954895,1.01345205307,G,major,0.23943720758,5.06536245346
d03a0d3b-a3c5-44f4-9af7-34c76ccaedb2,122.018203735,0.977437496185,F,minor,0.834381520748,3.61653017998
2015ccc4-066e-44cd-b638-b736694a07e3,129.781173706,1.42022562027,D#,major,0.934971690178,3.15281867981
1d1553c5-2b6f-472d-a7ec-5c42345ae7b9,138.038619995,1.27451622486,A,minor,0.922879576683,3.69261550903
63e824b6-44ee-4925-b27e-4d2fce8ca7a2,98.9752426147,1.17796862125,G,major,0.915646910667,4.14493751526
57bf8edb-6a62-45ee-8f47-5dd91eb0d4fc,121.284507751,1.31819307804,F,minor,0.871104896069,5.45241975784
f58306cd-8a38-4dc7-8fb3-74b744e191d7,88.9897842407,1.0758357048,D,minor,0.890866219997,3.70127606392
a98c6c17-5415-40f5-b9bc-ee537c2460ff,113.8934021,0.917487561703,F,minor,0.880539596081,4.37687921524
a03a0178-ef12-4f75-8182-f3efc29627ba,96.2913818359,0.913767933846,A,major,0.579885065556,5.42664241791
c10a9af1-e793-4c6e-bb77-dd2e4634706b,120.63621521,1.241558671,C,major,0.941675543785,4.19419240952
