genre,n_tracks,with_audio_features,pct_with_audio_features
jazz,3033,2958.0,97.53
rock,3031,2938.0,96.93
classical,3043,2917.0,95.86
country,2632,2485.0,94.41
hip-hop,3890,3667.0,94.27
metal,2465,2276.0,92.33
pop,3009,2416.0,80.29
electronic,3517,2400.0,68.24
r&b,1793,1197.0,66.76
folk,2966,540.0,18.21
ambient,3356,0.0,0.0
indie,3111,0.0,0.0
reggae,2730,0.0,0.0
funk,2644,0.0,0.0
punk,2592,0.0,0.0
latin,2497,0.0,0.0
blues,2389,0.0,0.0
soul,2354,0.0,0.0
dance,2285,0.0,0.0
gospel,2242,0.0,0.0
