model,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std,test_rmse,test_mae,test_r2
Linear Regression (baseline),2.4756593315419777,0.015716935564272012,1.986708821671786,0.013378725326450635,0.24737622667380613,0.002431410783019797,2.5051167324356034,2.007771996612267,0.23216240765050689
Ridge,2.4757054218157153,0.015710707475258687,1.9872747652707012,0.013457302425383068,0.2473482257747337,0.002416243142939141,2.5052445038285613,2.008348142486141,0.23208407981897705
Lasso,2.4761191388950605,0.015602639418105236,1.9879537868433939,0.013544518975293206,0.24709661008209238,0.002293755799349617,2.5059116868528237,2.0092109648839296,0.23167501101385335
PCA + Ridge,2.5758609675089454,0.01162725684354034,2.0777120221244867,0.011607032885287211,0.18520048632855468,0.0032086415663453998,2.6070141958622233,2.096407825492121,0.16842729224745334
Random Forest,2.3694980168702475,0.01527672483196844,1.877911339558965,0.013342554286679454,0.3105391312791621,0.0027939320318218926,2.3909919798457704,1.8921683350450993,0.30052906344282826
Gradient Boosting,2.3761422416617126,0.015510087926842813,1.8923670200123055,0.014877181595160433,0.3066691688203272,0.002464653185442334,2.4026237813942344,1.9102316329303872,0.2937068761371312
Gradient Boosting (tuned),2.3513600847971867,0.017003702501158978,1.8616592643476957,0.014984210052603121,0.32105807853687646,0.003466939779305249,2.3715884736528157,1.8755033439966817,0.3118357661729453
