model,feature,source_feature,importance_type,importance
Gradient Boosting (tuned),cat__artist_type_Unknown,artist,tree_importance,0.0
Lasso,cat__genre_classical,genre,absolute_coefficient,4.275911677123525
Lasso,cat__genre_indie,genre,absolute_coefficient,3.4473847520178516
Lasso,cat__genre_r&b,genre,absolute_coefficient,2.7362948192501717
Lasso,cat__genre_punk,genre,absolute_coefficient,1.7989934966902186
Lasso,cat__genre_country,genre,absolute_coefficient,1.0061846407919979
Lasso,cat__genre_soul,genre,absolute_coefficient,0.9072165654775768
Lasso,cat__genre_metal,genre,absolute_coefficient,0.8935624367939169
Lasso,cat__genre_folk,genre,absolute_coefficient,0.8253540551555566
Lasso,cat__genre_electronic,genre,absolute_coefficient,0.8138375140055355
Lasso,cat__release_type_Album,release,absolute_coefficient,0.7454685097815107
Lasso,num__has_audio_features,has_audio_features,absolute_coefficient,0.7426700434891556
Lasso,cat__release_type_Other,release,absolute_coefficient,0.7385656704059161
Lasso,cat__genre_blues,genre,absolute_coefficient,0.736776397603235
Lasso,cat__genre_pop,genre,absolute_coefficient,0.5034606654155537
Lasso,cat__release_type_Unknown,release,absolute_coefficient,0.43685654946529134
Lasso,cat__genre_jazz,genre,absolute_coefficient,0.3833237544085833
Lasso,num__release_decade,release_decade,absolute_coefficient,0.2906215321334552
Lasso,num__track_age,track_age,absolute_coefficient,0.2769253504173831
Lasso,cat__genre_ambient,genre,absolute_coefficient,0.2707814665612564
Lasso,cat__genre_gospel,genre,absolute_coefficient,0.22870832011258466
Lasso,cat__genre_rock,genre,absolute_coefficient,0.21692005259513572
Lasso,cat__genre_latin,genre,absolute_coefficient,0.20362405454114613
Lasso,cat__release_type_EP,release,absolute_coefficient,0.1247787845436669
Lasso,cat__genre_dance,genre,absolute_coefficient,0.12145091395177521
Lasso,num__duration_sec,duration_sec,absolute_coefficient,0.057640949056599874
Lasso,cat__genre_reggae,genre,absolute_coefficient,0.03098545944840619
Lasso,cat__genre_funk,genre,absolute_coefficient,0.019048122302657348
Lasso,num__release_year,release_year,absolute_coefficient,0.010113219306394682
Lasso,cat__genre_hip-hop,genre,absolute_coefficient,0.009280103558463624
Lasso,num__genre_match_count,genre_match_count,absolute_coefficient,0.0058559371172135916
Lasso,num__audio_feature_missing_count,audio_feature_missing_count,absolute_coefficient,6.906309833199737e-15
Lasso,cat__release_type_Broadcast,release,absolute_coefficient,0.0
Lasso,cat__release_type_Single,release,absolute_coefficient,0.0
Lasso,num__career_x_duration_min,career_x_duration_min,absolute_coefficient,0.0
Lasso,cat__artist_country_Unknown,artist,absolute_coefficient,0.0
Lasso,cat__artist_type_Unknown,artist,absolute_coefficient,0.0
Random Forest,cat__genre_classical,genre,tree_importance,0.21576361497849478
Random Forest,cat__genre_indie,genre,tree_importance,0.1481187694381393
Random Forest,num__duration_sec,duration_sec,tree_importance,0.11888658944233305
Random Forest,num__release_year,release_year,tree_importance,0.10072997973032623
Random Forest,num__has_audio_features,has_audio_features,tree_importance,0.089304397991486
Random Forest,cat__genre_r&b,genre,tree_importance,0.07640093184485061
Random Forest,num__track_age,track_age,tree_importance,0.07069152261127397
Random Forest,cat__genre_punk,genre,tree_importance,0.04875372431048106
Random Forest,cat__genre_metal,genre,tree_importance,0.021371769485971994
Random Forest,cat__genre_soul,genre,tree_importance,0.015411992752878717
Random Forest,cat__release_type_Album,release,tree_importance,0.01211129295024999
Random Forest,cat__genre_electronic,genre,tree_importance,0.010643829723147554
Random Forest,cat__genre_folk,genre,tree_importance,0.009872559089529874
Random Forest,cat__genre_blues,genre,tree_importance,0.009539030662410443
Random Forest,cat__genre_country,genre,tree_importance,0.008118875236409672
Random Forest,cat__genre_hip-hop,genre,tree_importance,0.006387230759714634
Random Forest,cat__genre_rock,genre,tree_importance,0.005997486765479236
Random Forest,cat__genre_ambient,genre,tree_importance,0.005807506093930492
Random Forest,cat__genre_gospel,genre,tree_importance,0.004652765359439934
Random Forest,cat__release_type_EP,release,tree_importance,0.004546783113933438
Random Forest,cat__release_type_Single,release,tree_importance,0.003209648112813165
Random Forest,cat__genre_pop,genre,tree_importance,0.002956097580311723
Random Forest,cat__release_type_Unknown,release,tree_importance,0.0028089790517405364
